Index	CID_stereo	InChIKey	SMILES
101	2471	MAEIEVLCKWDQJH-UHFFFAOYSA-N	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
102	2474	LEBVLXFERQHONN-UHFFFAOYSA-N	CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
103	2477	QWCRAEMEVRGPNT-UHFFFAOYSA-N	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
104	2478	COVZYZSDYWQREU-UHFFFAOYSA-N	CS(=O)(=O)OCCCCOS(=O)(=O)C
105	2479	ZRIHAIZYIMGOAB-UHFFFAOYSA-N	CCC(C)C1(C(=O)NC(=O)NC1=O)CC
106	2484	ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
107	2519	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
108	2520	SGTNSNPWRIOYBX-UHFFFAOYSA-N	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
109	2540	GHOSNRCGJFBJIB-UHFFFAOYSA-N	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
110	2541	HTQMVQVXFRQIKW-UHFFFAOYSA-N	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
111	2551	VPJXQGSRWJZDOB-UHFFFAOYSA-O	C[N+](C)(C)CCOC(=O)N
112	2554	FFGPTBGBLSHEPO-UHFFFAOYSA-N	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
113	2564	OJFSXZCBGQGRNV-UHFFFAOYSA-N	CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
114	2576	OFZCIYFFPZCNJE-UHFFFAOYSA-N	CCCC(C)(COC(=O)N)COC(=O)NC(C)C
115	2578	DLGOEMSEDOSKAD-UHFFFAOYSA-N	C(CCl)NC(=O)N(CCCl)N=O
116	2583	LWAFSWPYPHEXKX-UHFFFAOYSA-N	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
